"","id","site.id","neighborhood","pitstop.type","intervention.type","start.date","week.start","distance.km","count","week.end","site","pre.start","post.start","intervention","time","month"
"129",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-07-02,"0.1",16,2014-07-09,"388 Ellis St",2014-01-15,2015-01-15,"0",25,"7"
"130",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-07-09,"0.1",18,2014-07-16,"388 Ellis St",2014-01-15,2015-01-15,"0",26,"7"
"131",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-07-23,"0.1",8,2014-07-30,"388 Ellis St",2014-01-15,2015-01-15,"1",28,"7"
"132",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-07-30,"0.1",17,2014-08-06,"388 Ellis St",2014-01-15,2015-01-15,"1",29,"7"
"133",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-06,"0.1",16,2014-08-13,"388 Ellis St",2014-01-15,2015-01-15,"1",30,"8"
"134",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-13,"0.1",11,2014-08-20,"388 Ellis St",2014-01-15,2015-01-15,"1",31,"8"
"135",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-20,"0.1",10,2014-08-27,"388 Ellis St",2014-01-15,2015-01-15,"1",32,"8"
"136",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-27,"0.1",10,2014-09-03,"388 Ellis St",2014-01-15,2015-01-15,"1",33,"8"
"137",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-03,"0.1",14,2014-09-10,"388 Ellis St",2014-01-15,2015-01-15,"1",34,"9"
"138",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-10,"0.1",9,2014-09-17,"388 Ellis St",2014-01-15,2015-01-15,"1",35,"9"
"139",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-17,"0.1",11,2014-09-24,"388 Ellis St",2014-01-15,2015-01-15,"1",36,"9"
"140",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-24,"0.1",11,2014-10-01,"388 Ellis St",2014-01-15,2015-01-15,"1",37,"9"
"141",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-01,"0.1",5,2014-10-08,"388 Ellis St",2014-01-15,2015-01-15,"1",38,"10"
"142",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-08,"0.1",10,2014-10-15,"388 Ellis St",2014-01-15,2015-01-15,"1",39,"10"
"143",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-15,"0.1",13,2014-10-22,"388 Ellis St",2014-01-15,2015-01-15,"1",40,"10"
"144",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-22,"0.1",4,2014-10-29,"388 Ellis St",2014-01-15,2015-01-15,"1",41,"10"
"145",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-29,"0.1",7,2014-11-05,"388 Ellis St",2014-01-15,2015-01-15,"1",42,"10"
"146",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-05,"0.1",13,2014-11-12,"388 Ellis St",2014-01-15,2015-01-15,"1",43,"11"
"147",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-12,"0.1",6,2014-11-19,"388 Ellis St",2014-01-15,2015-01-15,"1",44,"11"
"148",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-19,"0.1",10,2014-11-26,"388 Ellis St",2014-01-15,2015-01-15,"1",45,"11"
"149",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-26,"0.1",14,2014-12-03,"388 Ellis St",2014-01-15,2015-01-15,"1",46,"11"
"150",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-03,"0.1",6,2014-12-10,"388 Ellis St",2014-01-15,2015-01-15,"1",47,"12"
"151",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-10,"0.1",8,2014-12-17,"388 Ellis St",2014-01-15,2015-01-15,"1",48,"12"
"152",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-17,"0.1",5,2014-12-24,"388 Ellis St",2014-01-15,2015-01-15,"1",49,"12"
"153",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-24,"0.1",3,2014-12-31,"388 Ellis St",2014-01-15,2015-01-15,"1",50,"12"
